Handle,Title,Body (HTML),Included in Online Store,Image Src,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Compare At Price,Track Inventory,Allow Out of Stock Purchases,Available Quantity,SKU,Weight Value,Weight Unit,Dimension Length,Dimension Width,Dimension Height,Dimension Unit,Product Label Enable,Label Title,Label Start Date,Label End Date,SEO Title,SEO Description
k1381-110-ford-ecosport-2018-2022-k9-10,Custom Design K9 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1381-110</strong></p><ul><li>Puddy wrap</li><li>perf wings</li><li>Black contrast all stitch</li><li>Black piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/4L2Qs9PV4imcbYoI5aqX,Make,Ford,Model,ECOSPORT,Trim,SE K1381-110,1895.00,,FALSE,TRUE,,K1381-110,,,,,,,FALSE,,,,Custom Design K9 for Ford ECOSPORT SE 2018 - 2022,"Puddy wrap
 perf wings
 Black contrast all stitch
 Black piping"
k1382-110-ford-ecosport-2018-2022-k10-11,Custom Design K10 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1382-110</strong></p><ul><li>Puddy wrap</li><li>Black perf wings</li><li>Black contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/y2QffKbscGooOLAUvxyO,Make,Ford,Model,ECOSPORT,Trim,SE K1382-110,1895.00,,FALSE,TRUE,,K1382-110,,,,,,,FALSE,,,,Custom Design K10 for Ford ECOSPORT SE 2018 - 2022,"Puddy wrap
 Black perf wings
 Black contrast all stitch"
k1383-110-ford-ecosport-2018-2022-k11-12,Custom Design K11 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1383-110</strong></p><ul><li>Puddy wrap</li><li>Black faces</li><li>Puddy perf wings</li><li>Black contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/PBiUsS0ffrheaCAquQUg,Make,Ford,Model,ECOSPORT,Trim,SE K1383-110,1895.00,,FALSE,TRUE,,K1383-110,,,,,,,FALSE,,,,Custom Design K11 for Ford ECOSPORT SE 2018 - 2022,"Puddy wrap
 Black faces
 Puddy perf wings
 Black contrast all stitch"
k1389-100-ford-ecosport-2018-2022-k12-13,Custom Design K12 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1389-100</strong></p><ul><li>Black wrap</li><li>Heather Suedezkin body</li><li>Frost contrast all stitch</li><li>Frost piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/Xa1bQLmHHWNW2G6RccA2,Make,Ford,Model,ECOSPORT,Trim,SE K1389-100,1895.00,,FALSE,TRUE,,K1389-100,,,,,,,FALSE,,,,Custom Design K12 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Heather Suedezkin body
 Frost contrast all stitch
 Frost piping"
k1390-100-ford-ecosport-2018-2022-k13-14,Custom Design K13 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1390-100</strong></p><ul><li>Black wrap</li><li>Barracuda Blue body</li><li>Barracuda Blue wings</li><li>Cobalt contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/MJEvM9QuIZcUfjgLPsJD,Make,Ford,Model,ECOSPORT,Trim,SE K1390-100,1895.00,,FALSE,TRUE,,K1390-100,,,,,,,FALSE,,,,Custom Design K13 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Barracuda Blue body
 Barracuda Blue wings
 Cobalt contrast all stitch"
f169-100-ford-c-max-2017-f1-15,Factory Design F1 for Ford C-Max 2017,"<p><strong>Design Number: F169-100</strong></p><p>Black wrap, Black stitching</p>",TRUE,https://services.leadconnectorhq.com/documents/download/sxl4RXES12xrb1A7r8Ot,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS F169-100,1895.00,,FALSE,TRUE,,F169-100,,,,,,,FALSE,,,,Factory Design F1 for Ford C-Max 2017,"Black wrap, Black stitching"
k620-100-ford-c-max-2017-16,Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K620-100</strong></p><ul><li>Black wrap, perf insert,</li><li>Ash wings,</li><li>Ash contrast top stitch no insert</li></ul>",TRUE,https://services.leadconnectorhq.com/documents/download/iHG91ShSfdbvy6wyDsx0,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS K620-100,1895.00,,FALSE,TRUE,,K620-100,,,,,,,FALSE,,,,Custom Design (CMAX) for Ford C-Max 2017,"Black wrap, perf insert,  
Ash wings,  
Ash contrast top stitch no insert"
k619-100-ford-c-max-2017-17,Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K619-100</strong></p><ul><li>Black wrap, perf insert</li><li>Java center,</li><li>Raven Suedezkin wings,</li><li>Tan contrast top stitch no insert</li></ul>",TRUE,https://services.leadconnectorhq.com/documents/download/0osZvkk9YtrpKT3vOoZl,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS K619-100,1895.00,,FALSE,TRUE,,K619-100,,,,,,,FALSE,,,,Custom Design (CMAX) for Ford C-Max 2017,"Black wrap, perf insert 
Java center,  
Raven Suedezkin wings,  
Tan contrast top stitch no insert"
k615-100-ford-c-max-2017-18,Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K615-100</strong></p><ul><li>Black wrap, perf insert,</li><li>Silver contrast top stitch no insert</li></ul>",TRUE,https://services.leadconnectorhq.com/documents/download/qEYaP6MsXr2IZxYAEglf,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS K615-100,1895.00,,FALSE,TRUE,,K615-100,,,,,,,FALSE,,,,Custom Design (CMAX) for Ford C-Max 2017,"Black wrap, perf insert,  
Silver contrast top stitch no insert"
k618-100-ford-c-max-2017-19,Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K618-100</strong></p><ul><li>Black wrap,</li><li>Barracuda Red combo,</li><li>Red wings,</li><li>Red contrast top stitch no insert</li></ul>",TRUE,https://services.leadconnectorhq.com/documents/download/Wycgx7b9NfPILNVDjCpa,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS K618-100,1895.00,,FALSE,TRUE,,K618-100,,,,,,,FALSE,,,,Custom Design (CMAX) for Ford C-Max 2017,"Black wrap,  
Barracuda Red combo,  
Red wings,  
Red contrast top stitch no insert"
