Handle,Title,Body (HTML),Included in Online Store,Image Src,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Compare At Price,Track Inventory,Allow Out of Stock Purchases,Available Quantity,SKU,Weight Value,Weight Unit,Dimension Length,Dimension Width,Dimension Height,Dimension Unit,Product Label Enable,Label Title,Label Start Date,Label End Date,SEO Title,SEO Description
k1381-110-ford-ecosport-2018-2022-k9-10,K1381-110 - Custom Design K9 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1381-110</strong></p><ul><li>Puddy wrap</li><li>perf wings</li><li>Black contrast all stitch</li><li>Black piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/4L2Qs9PV4imcbYoI5aqX,Year,2018 - 2022,Car Brand,Ford,Model,ECOSPORT,1895.00,,FALSE,TRUE,,K1381-110,,,,,,,FALSE,,,,K1381-110 - Custom Design K9 for Ford ECOSPORT SE 2018 - 2022,"Puddy wrap
 perf wings
 Black contrast all stitch
 Black piping"
k1382-110-ford-ecosport-2018-2022-k10-11,K1382-110 - Custom Design K10 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1382-110</strong></p><ul><li>Puddy wrap</li><li>Black perf wings</li><li>Black contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/y2QffKbscGooOLAUvxyO,Year,2018 - 2022,Car Brand,Ford,Model,ECOSPORT,1895.00,,FALSE,TRUE,,K1382-110,,,,,,,FALSE,,,,K1382-110 - Custom Design K10 for Ford ECOSPORT SE 2018 - 2022,"Puddy wrap
 Black perf wings
 Black contrast all stitch"
k1383-110-ford-ecosport-2018-2022-k11-12,K1383-110 - Custom Design K11 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1383-110</strong></p><ul><li>Puddy wrap</li><li>Black faces</li><li>Puddy perf wings</li><li>Black contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/PBiUsS0ffrheaCAquQUg,Year,2018 - 2022,Car Brand,Ford,Model,ECOSPORT,1895.00,,FALSE,TRUE,,K1383-110,,,,,,,FALSE,,,,K1383-110 - Custom Design K11 for Ford ECOSPORT SE 2018 - 2022,"Puddy wrap
 Black faces
 Puddy perf wings
 Black contrast all stitch"
k1389-100-ford-ecosport-2018-2022-k12-13,K1389-100 - Custom Design K12 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1389-100</strong></p><ul><li>Black wrap</li><li>Heather Suedezkin body</li><li>Frost contrast all stitch</li><li>Frost piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/Xa1bQLmHHWNW2G6RccA2,Year,2018 - 2022,Car Brand,Ford,Model,ECOSPORT,1895.00,,FALSE,TRUE,,K1389-100,,,,,,,FALSE,,,,K1389-100 - Custom Design K12 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Heather Suedezkin body
 Frost contrast all stitch
 Frost piping"
k1390-100-ford-ecosport-2018-2022-k13-14,K1390-100 - Custom Design K13 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1390-100</strong></p><ul><li>Black wrap</li><li>Barracuda Blue body</li><li>Barracuda Blue wings</li><li>Cobalt contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/MJEvM9QuIZcUfjgLPsJD,Year,2018 - 2022,Car Brand,Ford,Model,ECOSPORT,1895.00,,FALSE,TRUE,,K1390-100,,,,,,,FALSE,,,,K1390-100 - Custom Design K13 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Barracuda Blue body
 Barracuda Blue wings
 Cobalt contrast all stitch"
f169-100-ford-c-max-2017-f1-15,F169-100 - Factory Design F1 for Ford C-Max 2017,"<p><strong>Design Number: F169-100</strong></p><p>Black wrap, Black stitching</p>",TRUE,https://services.leadconnectorhq.com/documents/download/sxl4RXES12xrb1A7r8Ot,Year,2017,Car Brand,Ford,Model,C-Max,1895.00,,FALSE,TRUE,,F169-100,,,,,,,FALSE,,,,F169-100 - Factory Design F1 for Ford C-Max 2017,"Black wrap, Black stitching"
k620-100-ford-c-max-2017-16,K620-100 - Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K620-100</strong></p><ul><li>Black wrap, perf insert,</li><li>Ash wings,</li><li>Ash contrast top stitch no insert</li></ul>",TRUE,https://services.leadconnectorhq.com/documents/download/iHG91ShSfdbvy6wyDsx0,Year,2017,Car Brand,Ford,Model,C-Max,1895.00,,FALSE,TRUE,,K620-100,,,,,,,FALSE,,,,K620-100 - Custom Design (CMAX) for Ford C-Max 2017,"Black wrap, perf insert,  
Ash wings,  
Ash contrast top stitch no insert"
k619-100-ford-c-max-2017-17,K619-100 - Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K619-100</strong></p><ul><li>Black wrap, perf insert</li><li>Java center,</li><li>Raven Suedezkin wings,</li><li>Tan contrast top stitch no insert</li></ul>",TRUE,https://services.leadconnectorhq.com/documents/download/0osZvkk9YtrpKT3vOoZl,Year,2017,Car Brand,Ford,Model,C-Max,1895.00,,FALSE,TRUE,,K619-100,,,,,,,FALSE,,,,K619-100 - Custom Design (CMAX) for Ford C-Max 2017,"Black wrap, perf insert 
Java center,  
Raven Suedezkin wings,  
Tan contrast top stitch no insert"
k615-100-ford-c-max-2017-18,K615-100 - Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K615-100</strong></p><ul><li>Black wrap, perf insert,</li><li>Silver contrast top stitch no insert</li></ul>",TRUE,https://services.leadconnectorhq.com/documents/download/qEYaP6MsXr2IZxYAEglf,Year,2017,Car Brand,Ford,Model,C-Max,1895.00,,FALSE,TRUE,,K615-100,,,,,,,FALSE,,,,K615-100 - Custom Design (CMAX) for Ford C-Max 2017,"Black wrap, perf insert,  
Silver contrast top stitch no insert"
k618-100-ford-c-max-2017-19,K618-100 - Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K618-100</strong></p><ul><li>Black wrap,</li><li>Barracuda Red combo,</li><li>Red wings,</li><li>Red contrast top stitch no insert</li></ul>",TRUE,https://services.leadconnectorhq.com/documents/download/Wycgx7b9NfPILNVDjCpa,Year,2017,Car Brand,Ford,Model,C-Max,1895.00,,FALSE,TRUE,,K618-100,,,,,,,FALSE,,,,K618-100 - Custom Design (CMAX) for Ford C-Max 2017,"Black wrap,  
Barracuda Red combo,  
Red wings,  
Red contrast top stitch no insert"
k617-100-ford-c-max-2017-20,K617-100 - Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K617-100</strong></p><ul><li>Black wrap,</li><li>Raven Suedezkin insert,</li><li>Silver contrast top stitch no insert</li></ul>",TRUE,https://services.leadconnectorhq.com/documents/download/coYUvSw2xwsbVabjhRtc,Year,2017,Car Brand,Ford,Model,C-Max,1895.00,,FALSE,TRUE,,K617-100,,,,,,,FALSE,,,,K617-100 - Custom Design (CMAX) for Ford C-Max 2017,"Black wrap,  
Raven Suedezkin insert,  
Silver contrast top stitch no insert"
k616-100-ford-c-max-2017-21,K616-100 - Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K616-100</strong></p><ul><li>Black wrap, Bone faces</li><li>Beach contrast top stitch no insert</li></ul>",TRUE,https://services.leadconnectorhq.com/documents/download/0Jbq1v8jvxz034VYJBTr,Year,2017,Car Brand,Ford,Model,C-Max,1895.00,,FALSE,TRUE,,K616-100,,,,,,,FALSE,,,,K616-100 - Custom Design (CMAX) for Ford C-Max 2017,"Black wrap, Bone faces 
Beach contrast top stitch no insert"
k617-113-ford-c-max-2017-22,K617-113 - Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K617-113</strong></p><ul><li>Beach wrap,  perf insert</li><li>Bone center,  Beach wings,</li><li>Silver contrast top stitch no insert</li></ul>",TRUE,https://services.leadconnectorhq.com/documents/download/7XANoeoswgNdx9384yQQ,Year,2017,Car Brand,Ford,Model,C-Max,1895.00,,FALSE,TRUE,,K617-113,,,,,,,FALSE,,,,K617-113 - Custom Design (CMAX) for Ford C-Max 2017,"Beach wrap,  perf insert 
Bone center,  Beach wings,  
Silver contrast top stitch no insert"
k615-113-ford-c-max-2017-23,K615-113 - Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K615-113</strong></p><ul><li>Beach wrap,  perf combo,</li><li>Medium Taupe Suedezkin wings,</li><li>Alabaster contrast top stitch no insert</li></ul>",TRUE,https://services.leadconnectorhq.com/documents/download/4X3Sd7VbkFASIX0tGFLg,Year,2017,Car Brand,Ford,Model,C-Max,1895.00,,FALSE,TRUE,,K615-113,,,,,,,FALSE,,,,K615-113 - Custom Design (CMAX) for Ford C-Max 2017,"Beach wrap,  perf combo, 
Medium Taupe Suedezkin wings,  
Alabaster contrast top stitch no insert"
f1402-100-ford-bronco-sport-2021-2023-f1-24,F1402-100 - Factory Design F1 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: F1402-100</strong></p><ul><li>Black wrap</li><li>perf combo</li><li>Stone contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/po52zbN9PTi5cJRwkPgG,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,F1402-100,,,,,,,FALSE,,,,F1402-100 - Factory Design F1 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 perf combo
 Stone contrast all stitch"
f1403-100-ford-bronco-sport-2021-2023-f2-25,F1403-100 - Factory Design F2 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: F1403-100</strong></p><ul><li>Black wrap</li><li>Lunar Grey perf combo</li><li>Lunar Grey wings</li><li>Stone contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/PuzPVBHDgj4XQoQ9jp2B,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,F1403-100,,,,,,,FALSE,,,,F1403-100 - Factory Design F2 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Lunar Grey perf combo
 Lunar Grey wings
 Stone contrast all stitch"
k2686-222-ford-bronco-sport-2021-2023-k1-26,K2686-222 - Custom Design K1 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2686-222</strong></p><ul><li>Mahogany wrap</li><li>Black combo</li><li>perf combo</li><li>Lunar Grey wings</li><li>Stone contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/8MQVF1i3zthkVzLMGZPd,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,K2686-222,,,,,,,FALSE,,,,K2686-222 - Custom Design K1 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Mahogany wrap
 Black combo
 perf combo
 Lunar Grey wings
 Stone contrast all stitch"
k2686-224-ford-bronco-sport-2021-2023-k2-27,K2686-224 - Custom Design K2 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2686-224</strong></p><ul><li>Coffee wrap</li><li>Black combo</li><li>perf combo</li><li>Dark Slate Suedezkin wings</li><li>Stone contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/ndTf5wRVmYoxUMgxiqZK,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,K2686-224,,,,,,,FALSE,,,,K2686-224 - Custom Design K2 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Coffee wrap
 Black combo
 perf combo
 Dark Slate Suedezkin wings
 Stone contrast all stitch"
k2687-100-ford-bronco-sport-2021-2023-k3-28,K2687-100 - Custom Design K3 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2687-100</strong></p><ul><li>Black wrap</li><li>perf combo</li><li>Pearl contrast all stitch</li><li>Pearl piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/AySZSZJjXb74xw1uJZqi,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,K2687-100,,,,,,,FALSE,,,,K2687-100 - Custom Design K3 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 perf combo
 Pearl contrast all stitch
 Pearl piping"
k2688-100-ford-bronco-sport-2021-2023-k4-29,K2688-100 - Custom Design K4 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2688-100</strong></p><ul><li>Black wrap</li><li>perf combo</li><li>Pearl perf wings</li><li>Pearl contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/IUQhoa6rGhaEgK6d7NGz,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,K2688-100,,,,,,,FALSE,,,,K2688-100 - Custom Design K4 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 perf combo
 Pearl perf wings
 Pearl contrast all stitch"
k2686-120-ford-bronco-sport-2021-2023-k5-30,K2686-120 - Custom Design K5 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2686-120</strong></p><ul><li>Pearl wrap</li><li>Black center</li><li>perf combo</li><li>Black wings</li><li>Red contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/XXmj2m8XAqExY3QUpj87,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,K2686-120,,,,,,,FALSE,,,,K2686-120 - Custom Design K5 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Pearl wrap
 Black center
 perf combo
 Black wings
 Red contrast all stitch"
k2689-100-ford-bronco-sport-2021-2023-k6-31,K2689-100 - Custom Design K6 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2689-100</strong></p><ul><li>Black wrap</li><li>Ash center</li><li>perf combo</li><li>Silver contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/Qp77VAsIpEXtSYT3sgkG,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,K2689-100,,,,,,,FALSE,,,,K2689-100 - Custom Design K6 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Ash center
 perf combo
 Silver contrast all stitch"
k2690-100-ford-bronco-sport-2021-2023-k7-32,K2690-100 - Custom Design K7 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2690-100</strong></p><ul><li>Black wrap</li><li>Ash faces</li><li>perf combo</li><li>Black wings</li><li>Black contrast all stitch</li><li>Black piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/lTY8bf41k30zxKeFCHBY,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,K2690-100,,,,,,,FALSE,,,,K2690-100 - Custom Design K7 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Ash faces
 perf combo
 Black wings
 Black contrast all stitch
 Black piping"
k2691-100-ford-bronco-sport-2021-2023-k8-33,K2691-100 - Custom Design K8 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2691-100</strong></p><ul><li>Black wrap</li><li>Lunar Grey faces</li><li>perf combo</li><li>perf wings</li><li>Black contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/OtLSxFIyoXWaSMSzlIQA,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,K2691-100,,,,,,,FALSE,,,,K2691-100 - Custom Design K8 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Lunar Grey faces
 perf combo
 perf wings
 Black contrast all stitch"
k2690-265-ford-bronco-sport-2021-2023-k9-34,K2690-265 - Custom Design K9 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2690-265</strong></p><ul><li>Lunar Grey wrap</li><li>Black center</li><li>perf combo</li><li>Black contrast all stitch</li><li>Black piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/PqZjEHtAm4GZFZiGRiLh,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,K2690-265,,,,,,,FALSE,,,,K2690-265 - Custom Design K9 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Lunar Grey wrap
 Black center
 perf combo
 Black contrast all stitch
 Black piping"
k2692-100-ford-bronco-sport-2021-2023-k10-35,K2692-100 - Custom Design K10 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2692-100</strong></p><ul><li>Black wrap</li><li>Lt. Grey combo</li><li>perf combo</li><li>Lt. Grey contrast all stitch</li><li>Lt. Grey piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/QqRVcfTFJMPdHZ0AB56W,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,K2692-100,,,,,,,FALSE,,,,K2692-100 - Custom Design K10 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Lt. Grey combo
 perf combo
 Lt. Grey contrast all stitch
 Lt. Grey piping"
k2693-100-ford-bronco-sport-2021-2023-k11-36,K2693-100 - Custom Design K11 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2693-100</strong></p><ul><li>Black wrap</li><li>Lt. Grey faces</li><li>perf combo</li><li>Dark Slate Suedezkin wings</li><li>Red contrast all stitch</li><li>Red piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/yqXddJ6149HSf5Grxdvo,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,K2693-100,,,,,,,FALSE,,,,K2693-100 - Custom Design K11 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Lt. Grey faces
 perf combo
 Dark Slate Suedezkin wings
 Red contrast all stitch
 Red piping"
k2694-100-ford-bronco-sport-2021-2023-k12-37,K2694-100 - Custom Design K12 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2694-100</strong></p><ul><li>Black wrap</li><li>perf combo</li><li>Carbon Crimson Vinyl wings</li><li>Salsa contrast all stitch</li><li>Salsa piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/utRIDiHZPbBVfNI3rAWb,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,K2694-100,,,,,,,FALSE,,,,K2694-100 - Custom Design K12 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 perf combo
 Carbon Crimson Vinyl wings
 Salsa contrast all stitch
 Salsa piping"
k2695-100-ford-bronco-sport-2021-2023-k13-38,K2695-100 - Custom Design K13 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2695-100</strong></p><ul><li>Black wrap</li><li>Red center</li><li>perf combo</li><li>Red wings</li><li>Red contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/Rhb0lJb2ZCCFpZb6gpn0,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,K2695-100,,,,,,,FALSE,,,,K2695-100 - Custom Design K13 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Red center
 perf combo
 Red wings
 Red contrast all stitch"
k2690-121-ford-bronco-sport-2021-2023-k14-39,K2690-121 - Custom Design K14 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2690-121</strong></p><ul><li>Red wrap</li><li>perf combo</li><li>Barracuda Red wings</li><li>Silver contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/9InctvqwZzHwTUlckoRY,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,K2690-121,,,,,,,FALSE,,,,K2690-121 - Custom Design K14 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Red wrap
 perf combo
 Barracuda Red wings
 Silver contrast all stitch"
k2696-100-ford-bronco-sport-2021-2023-k15-40,K2696-100 - Custom Design K15 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2696-100</strong></p><ul><li>Black wrap</li><li>perf combo</li><li>Barracuda Yellow wings</li><li>Hyper Yellow contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/ulPYBEnHjJoiv3pbYIRJ,Year,2021 - 2023,Car Brand,Ford,Model,Bronco Sport,1895.00,,FALSE,TRUE,,K2696-100,,,,,,,FALSE,,,,K2696-100 - Custom Design K15 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 perf combo
 Barracuda Yellow wings
 Hyper Yellow contrast all stitch"
