Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
k1381-110-ford-ecosport-2018-2022-k9-10,Custom Design K9 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1381-110</strong></p><ul><li>Puddy wrap</li><li>perf wings</li><li>Black contrast all stitch</li><li>Black piping</li></ul>,,,,,False,Make,Ford,Model,ECOSPORT,Trim,SE K1381-110,K1381-110,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e4379294d8a1e1cf03.jpeg,1,,False,Custom Design K9 for Ford ECOSPORT SE 2018 - 2022,"Puddy wrap
 perf wings
 Black contrast all stitch
 Black piping",,,,,,,,,,,True,,,True,,,active
k1382-110-ford-ecosport-2018-2022-k10-11,Custom Design K10 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1382-110</strong></p><ul><li>Puddy wrap</li><li>Black perf wings</li><li>Black contrast all stitch</li></ul>,,,,,False,Make,Ford,Model,ECOSPORT,Trim,SE K1382-110,K1382-110,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e46c46cc045c9d6656.jpeg,1,,False,Custom Design K10 for Ford ECOSPORT SE 2018 - 2022,"Puddy wrap
 Black perf wings
 Black contrast all stitch",,,,,,,,,,,True,,,True,,,active
k1383-110-ford-ecosport-2018-2022-k11-12,Custom Design K11 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1383-110</strong></p><ul><li>Puddy wrap</li><li>Black faces</li><li>Puddy perf wings</li><li>Black contrast all stitch</li></ul>,,,,,False,Make,Ford,Model,ECOSPORT,Trim,SE K1383-110,K1383-110,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e41ff3b583cdfd7276.jpeg,1,,False,Custom Design K11 for Ford ECOSPORT SE 2018 - 2022,"Puddy wrap
 Black faces
 Puddy perf wings
 Black contrast all stitch",,,,,,,,,,,True,,,True,,,active
k1389-100-ford-ecosport-2018-2022-k12-13,Custom Design K12 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1389-100</strong></p><ul><li>Black wrap</li><li>Heather Suedezkin body</li><li>Frost contrast all stitch</li><li>Frost piping</li></ul>,,,,,False,Make,Ford,Model,ECOSPORT,Trim,SE K1389-100,K1389-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e4c5f22a5059a89613.jpeg,1,,False,Custom Design K12 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Heather Suedezkin body
 Frost contrast all stitch
 Frost piping",,,,,,,,,,,True,,,True,,,active
k1390-100-ford-ecosport-2018-2022-k13-14,Custom Design K13 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1390-100</strong></p><ul><li>Black wrap</li><li>Barracuda Blue body</li><li>Barracuda Blue wings</li><li>Cobalt contrast all stitch</li></ul>,,,,,False,Make,Ford,Model,ECOSPORT,Trim,SE K1390-100,K1390-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e41ff3b51529fd7274.jpeg,1,,False,Custom Design K13 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Barracuda Blue body
 Barracuda Blue wings
 Cobalt contrast all stitch",,,,,,,,,,,True,,,True,,,active
f169-100-ford-c-max-2017-f1-15,Factory Design F1 for Ford C-Max 2017,"<p><strong>Design Number: F169-100</strong></p><p>Black wrap, Black stitching</p>",,,,,False,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS F169-100,F169-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e56e4ecfc467536093cb25.jpeg,1,,False,Factory Design F1 for Ford C-Max 2017,"Black wrap, Black stitching",,,,,,,,,,,True,,,True,,,active
k620-100-ford-c-max-2017-16,Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K620-100</strong></p><ul><li>Black wrap, perf insert,</li><li>Ash wings,</li><li>Ash contrast top stitch no insert</li></ul>",,,,,False,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS K620-100,K620-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e56e4e1d86b0dae14c8618.jpeg,1,,False,Custom Design (CMAX) for Ford C-Max 2017,"Black wrap, perf insert,  
Ash wings,  
Ash contrast top stitch no insert",,,,,,,,,,,True,,,True,,,active
k619-100-ford-c-max-2017-17,Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K619-100</strong></p><ul><li>Black wrap, perf insert</li><li>Java center,</li><li>Raven Suedezkin wings,</li><li>Tan contrast top stitch no insert</li></ul>",,,,,False,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS K619-100,K619-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e56e4fe519ed7a8222d8ac.jpeg,1,,False,Custom Design (CMAX) for Ford C-Max 2017,"Black wrap, perf insert 
Java center,  
Raven Suedezkin wings,  
Tan contrast top stitch no insert",,,,,,,,,,,True,,,True,,,active
k615-100-ford-c-max-2017-18,Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K615-100</strong></p><ul><li>Black wrap, perf insert,</li><li>Silver contrast top stitch no insert</li></ul>",,,,,False,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS K615-100,K615-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e56e4f1ff3b51512fd6a0b.jpeg,1,,False,Custom Design (CMAX) for Ford C-Max 2017,"Black wrap, perf insert,  
Silver contrast top stitch no insert",,,,,,,,,,,True,,,True,,,active
k618-100-ford-c-max-2017-19,Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K618-100</strong></p><ul><li>Black wrap,</li><li>Barracuda Red combo,</li><li>Red wings,</li><li>Red contrast top stitch no insert</li></ul>",,,,,False,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS K618-100,K618-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e56e4ec5f22a2b25a88eaa.jpeg,1,,False,Custom Design (CMAX) for Ford C-Max 2017,"Black wrap,  
Barracuda Red combo,  
Red wings,  
Red contrast top stitch no insert",,,,,,,,,,,True,,,True,,,active
